Tree#,Groups,WScore
1,18_S6_H6-21_HALO_5C,0.931714
1,19_HALO_3C-21_HALO_5C,0.049657
1,1_HALO_1A-21_HALO_5C,0.120526
1,20_HALO_4C-21_HALO_5C,0.061213
1,10_G2_HG-22_HALO_6C,0.932128
1,10_HALO_2B-22_HALO_6C,0.067716
1,11_HALO_3B-22_HALO_6C,0.058578
1,12_HALO_4B-22_HALO_6C,0.053334
1,12_W_plus_3_G1-22_HALO_6C,0.956461
1,13_HALO_5B-22_HALO_6C,0.056706
1,13_W_plus_3_G11-22_HALO_6C,0.954941
1,14_HALO_6B-22_HALO_6C,0.069197
1,14_W_plus_3_H6-22_HALO_6C,0.937226
1,15_HALO_7B-22_HALO_6C,0.084535
1,16_HALO_8B-22_HALO_6C,0.07566
1,17_HALO_1C-22_HALO_6C,0.058531
1,17_S6_g11-22_HALO_6C,0.964046
1,18_11_20_1_1-22_HALO_6C,0.795967
1,18_11_20_1_2-22_HALO_6C,0.593139
1,18_11_20_1_3-22_HALO_6C,0.814605
1,18_11_20_2_1-22_HALO_6C,0.809144
1,18_11_20_2_2-22_HALO_6C,0.765708
1,18_11_20_2_3-22_HALO_6C,0.803898
1,18_11_20_3_1-22_HALO_6C,0.83364
1,18_11_20_3_2-22_HALO_6C,0.859377
1,18_11_20_3_3-22_HALO_6C,0.569731
1,18_HALO_2C-22_HALO_6C,0.058019
1,18_S6_H6-22_HALO_6C,0.931608
1,19_HALO_3C-22_HALO_6C,0.054966
1,1_HALO_1A-22_HALO_6C,0.12327
1,20_HALO_4C-22_HALO_6C,0.063577
1,21_HALO_5C-22_HALO_6C,0.060953
1,10_G2_HG-23_11_20_1_1,0.905044
1,10_HALO_2B-23_11_20_1_1,0.736748
1,11_HALO_3B-23_11_20_1_1,0.742747
1,12_HALO_4B-23_11_20_1_1,0.74174
1,12_W_plus_3_G1-23_11_20_1_1,0.941929
1,13_HALO_5B-23_11_20_1_1,0.734186
1,13_W_plus_3_G11-23_11_20_1_1,0.94022
1,14_HALO_6B-23_11_20_1_1,0.729037
1,14_W_plus_3_H6-23_11_20_1_1,0.936913
1,15_HALO_7B-23_11_20_1_1,0.730363
1,16_HALO_8B-23_11_20_1_1,0.753132
1,17_HALO_1C-23_11_20_1_1,0.72945
1,17_S6_g11-23_11_20_1_1,0.956409
1,18_11_20_1_1-23_11_20_1_1,0.308245
1,18_11_20_1_2-23_11_20_1_1,0.381709
1,18_11_20_1_3-23_11_20_1_1,0.275778
1,18_11_20_2_1-23_11_20_1_1,0.273371
1,18_11_20_2_2-23_11_20_1_1,0.279355
1,18_11_20_2_3-23_11_20_1_1,0.480249
1,18_11_20_3_1-23_11_20_1_1,0.325441
1,18_11_20_3_2-23_11_20_1_1,0.575151
1,18_11_20_3_3-23_11_20_1_1,0.299572
1,18_HALO_2C-23_11_20_1_1,0.751982
1,18_S6_H6-23_11_20_1_1,0.905687
1,19_HALO_3C-23_11_20_1_1,0.747861
1,1_HALO_1A-23_11_20_1_1,0.685673
1,20_HALO_4C-23_11_20_1_1,0.755332
1,21_HALO_5C-23_11_20_1_1,0.741702
1,22_HALO_6C-23_11_20_1_1,0.735922
